Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
Wine O'Clock Shop Prague,"['Italian', 'Mediterranean', 'European', 'Wine Bar', 'International', 'Vegetarian Friendly', 'Gluten Free Options']",1.0,5.0,$$ - $$$,967.0,"[['Best dinner in prague!', 'Lovely evening'], ['01/09/2018', '01/07/2018']]",/Restaurant_Review-g274707-d8374547-Reviews-Wine_O_Clock_Shop_Prague-Prague_Bohemia.html
Namaste India Indian Restaurant,"['Indian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",2.0,5.0,$$ - $$$,377.0,"[['fantastic indian food!', 'Really great!!'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d10920105-Reviews-Namaste_India_Indian_Restaurant-Prague_Bohemia.html
Be Bop Lobby Bar,"['International', 'Bar', 'Vegetarian Friendly', 'Gluten Free Options']",3.0,5.0,$$ - $$$,797.0,"[['NYE 2018', 'Just the coolest cocktails ever. ..'], ['01/01/2018', '01/01/2018']]",/Restaurant_Review-g274707-d6494862-Reviews-Be_Bop_Lobby_Bar-Prague_Bohemia.html
Portfolio restaurant,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.0,5.0,$$$$,884.0,"[['New year break', 'Perfect for a couple getaway'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10299686-Reviews-Portfolio_restaurant-Prague_Bohemia.html
Etnosvet,"['International', 'European', 'Asian', 'Vegetarian Friendly', 'Vegan Options']",5.0,4.5,$$ - $$$,1485.0,"[['Vegan vegeterian top fine dining 5 stars', 'Delightful'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g274707-d8568017-Reviews-Etnosvet-Prague_Bohemia.html
Indian By Nature,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",6.0,4.5,$$ - $$$,912.0,"[['Lovely Meal', 'Great place chilled out atmosphere'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d3448223-Reviews-Indian_By_Nature-Prague_Bohemia.html
Bellevue,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",7.0,4.5,$$$$,3151.0,"[['Amazing!!', 'The BEST!'], ['01/08/2018', '01/05/2018']]",/Restaurant_Review-g274707-d694806-Reviews-Bellevue-Prague_Bohemia.html
Blue Wagon,"['French', 'Czech', 'International', 'Vegetarian Friendly']",8.0,4.5,$$ - $$$,436.0,"[['Great restaurant!', 'New year Dinner'], ['01/09/2018', '01/02/2018']]",/Restaurant_Review-g274707-d3835034-Reviews-Blue_Wagon-Prague_Bohemia.html
Restaurant Alcron,"['French', 'International', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",9.0,4.5,$$$$,1388.0,"[['Art deco restaurant with a modern take on...', 'Nice food, great service.'], ['01/04/2018', '01/03/2018']]",/Restaurant_Review-g274707-d694888-Reviews-Restaurant_Alcron-Prague_Bohemia.html
Ristorante Pagana,"['Seafood', 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",10.0,4.5,$$ - $$$,1352.0,"[['Absolutely outstanding....', 'Great Food'], ['01/05/2018', '01/04/2018']]",/Restaurant_Review-g274707-d4794349-Reviews-Ristorante_Pagana-Prague_Bohemia.html
SOVA,"['European', 'Contemporary', 'Fusion', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",11.0,4.5,$$ - $$$,366.0,"[['Excellent', 'Perfekt!!!'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g274707-d12309521-Reviews-SOVA-Prague_Bohemia.html
DIVINE bistronomy twist,"['International', 'Diner', 'European', 'Central European', 'Vegan Options', 'Gluten Free Options']",12.0,4.5,$$ - $$$,779.0,"[['Excellent experience', 'A fantantic Christmas Eve'], ['01/01/2018', '12/26/2017']]",/Restaurant_Review-g274707-d4768883-Reviews-DIVINE_bistronomy_twist-Prague_Bohemia.html
U Kunstatu - Craft beer in Old Town,"['Bar', 'Czech', 'Contemporary', 'Pub', 'Gastropub', 'Diner']",13.0,4.5,$$ - $$$,585.0,"[['Great location to sample some local brews', 'Best craft beer place in Prague🍺'], ['01/09/2018', '01/05/2018']]",/Restaurant_Review-g274707-d3377413-Reviews-U_Kunstatu_Craft_beer_in_Old_Town-Prague_Bohemia.html
K The Two Brothers,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",14.0,4.5,$$ - $$$,2162.0,"[['Perfect!', 'Delicious meal and Brilliant service'], ['01/09/2018', '01/09/2018']]",/Restaurant_Review-g274707-d6661941-Reviews-K_The_Two_Brothers-Prague_Bohemia.html
Vegan's Restaurant Prague,"['European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",15.0,4.5,$$ - $$$,852.0,"[['Simply stunning', 'Whenever we are in Prague'], ['01/08/2018', '01/06/2018']]",/Restaurant_Review-g274707-d10125390-Reviews-Vegan_s_Restaurant_Prague-Prague_Bohemia.html
BadJeff's Barbeque,"['American', 'Bar', 'Barbecue', 'Fusion']",16.0,4.5,$$ - $$$,849.0,"[['Absolutely Fantastic & Always Again !', 'Best restaurant in town !'], ['01/02/2018', '12/30/2017']]",/Restaurant_Review-g274707-d7222354-Reviews-BadJeff_s_Barbeque-Prague_Bohemia.html
Terasa u Zlate Studne,"['International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",17.0,4.5,$$$$,1808.0,"[['Awesome view with lovely food and great se...', 'Excellent'], ['01/04/2018', '12/27/2017']]",/Restaurant_Review-g274707-d1092210-Reviews-Terasa_u_Zlate_Studne-Prague_Bohemia.html
V Zatisi,"['International', 'European', 'Czech', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",18.0,4.5,$$$$,1789.0,"[['Amazing dining experience', ""Fine Dining which deserves it's name!""], ['01/08/2018', '01/08/2018']]",/Restaurant_Review-g274707-d1097078-Reviews-V_Zatisi-Prague_Bohemia.html
Da Tarquinio,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",19.0,4.5,$,308.0,"[['Came for the Cacio e pepe', 'Best value in prague'], ['01/04/2018', '01/02/2018']]",/Restaurant_Review-g274707-d12686694-Reviews-Da_Tarquinio-Prague_Bohemia.html
